epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.75123,1.15587,2.78905,1.39295,0.69144,0.73864,0.70659,0.55456,0.66113,1.40189,1.02265,0.00015003,0.00015003,0.00015003
2,9.32605,0.90958,1.28958,1.17142,0.83734,0.76013,0.86075,0.65089,0.77534,1.13901,1.03659,0.000301052,0.000301052,0.000301052
3,11.6298,0.98005,1.18579,1.17265,0.74892,0.7387,0.77256,0.54968,0.92336,1.21721,1.13388,0.00043557,0.00043557,0.00043557
4,13.8063,0.93903,1.10655,1.16978,0.76446,0.64922,0.76054,0.55254,0.95031,1.8157,1.17313,0.000553586,0.000553586,0.000553586
5,15.995,0.96204,1.07292,1.22096,0.6902,0.70509,0.7606,0.54704,0.97222,1.28744,1.20602,0.000655098,0.000655098,0.000655098
6,18.142,1.05149,1.16911,1.21317,0.6644,0.62973,0.66326,0.46723,1.05868,1.6672,1.31904,0.000740106,0.000740106,0.000740106
7,20.3161,1.01022,1.07821,1.22551,0.68729,0.60737,0.6627,0.44082,1.40958,2.95122,1.6725,0.000808612,0.000808612,0.000808612
8,22.5151,0.86405,0.99586,1.15199,0.76698,0.59077,0.69723,0.47836,1.18189,1.91541,1.5233,0.000860614,0.000860614,0.000860614
9,24.706,0.87641,1.05051,1.14862,0.71126,0.61797,0.65323,0.44608,1.10744,1.42893,1.4236,0.000896113,0.000896113,0.000896113
10,26.9136,0.95683,1.06076,1.21238,0.60505,0.48025,0.48904,0.31496,1.32125,1.96776,1.52786,0.000915108,0.000915108,0.000915108
11,34.4701,1.32597,1.71272,1.48372,0.72392,0.51321,0.55395,0.37059,1.42568,1.76165,1.57353,0.000841835,0.000841835,0.000841835
12,36.6545,1.01471,1.4703,1.24896,0.7012,0.5648,0.60891,0.40718,1.48258,1.55466,1.57719,0.000759318,0.000759318,0.000759318
13,38.9652,0.97845,1.20227,1.18745,0.63259,0.54047,0.59653,0.39497,1.27401,1.75308,1.43551,0.000676802,0.000676802,0.000676802
14,41.219,0.9768,1.0632,1.15693,0.81048,0.69602,0.76738,0.52847,1.1058,1.1451,1.34201,0.000594286,0.000594286,0.000594286
15,43.424,0.83284,1.01404,1.08348,0.8435,0.71879,0.78158,0.53568,1.16075,1.18019,1.33371,0.000511769,0.000511769,0.000511769
16,45.6812,0.9471,0.98861,1.21672,0.87084,0.69859,0.77012,0.52875,1.13105,1.29401,1.33371,0.000429253,0.000429253,0.000429253
17,47.9284,0.91161,0.90014,1.18148,0.87161,0.6687,0.7592,0.53297,1.13817,1.38111,1.28472,0.000346736,0.000346736,0.000346736
18,50.2059,0.78222,0.79545,1.04997,0.85463,0.68049,0.7734,0.56954,1.03044,1.1363,1.23847,0.00026422,0.00026422,0.00026422
19,52.6724,0.8019,0.70986,1.04968,0.86158,0.68127,0.78193,0.5789,1.03203,0.98961,1.24353,0.000181703,0.000181703,0.000181703
20,54.9503,0.80396,0.83839,1.02827,0.81465,0.72057,0.78865,0.587,1.01363,0.87215,1.24927,9.91865e-05,9.91865e-05,9.91865e-05
